AirQualityStation,date,type,area,no2,n
STA-PT03055,2020-03-21,industrial,urban,8.483333333333333,24
STA-PT03055,2020-03-22,industrial,urban,4.166666666666667,24
STA-PT03055,2020-03-23,industrial,urban,7.1125,24
STA-PT03055,2020-03-24,industrial,urban,5.495833333333334,24
STA-PT03055,2020-03-25,industrial,urban,7.922727272727273,22
STA-PT03055,2020-03-26,industrial,urban,5.970833333333333,24
STA-PT03055,2020-03-27,industrial,urban,10.786363636363637,22
STA-PT03055,2020-03-28,industrial,urban,7.2875,24
STA-PT03055,2020-03-29,industrial,urban,10.695833333333333,24
STA-PT03055,2020-03-30,industrial,urban,12.191304347826087,23
